date,playoffs,home,away,score_home,score_away,pi_home,oi_home,pi_away,oi_away
2022-11-12,False,no,hou,119,106,0.8064516129032258,1.2,0.19354838709677424,5.0
2022-11-12,False,dal,por,117,112,0.6935031297215627,1.392156862745098,0.3064968702784373,3.15
2022-11-13,False,ny,okc,135,145,0.6547884187082406,1.4761904761904763,0.34521158129175944,2.8
2022-11-13,False,wsh,mem,102,92,0.5324675324675325,1.8,0.46753246753246747,2.05
2022-11-13,False,cle,min,124,129,0.5,1.9090909090909092,0.5,1.9090909090909092
2022-11-13,False,phi,utah,105,98,0.5962732919254659,1.625,0.40372670807453415,2.4
2022-11-13,False,chi,den,103,126,0.4675324675324676,2.05,0.5324675324675324,1.8
2022-11-13,False,sac,gs,122,115,0.37433155080213903,2.6,0.625668449197861,1.5555555555555556
2022-11-13,False,lal,bkn,116,103,0.35294117647058826,2.75,0.6470588235294117,1.5
2022-11-14,False,orl,cha,105,112,0.4675324675324676,2.05,0.5324675324675324,1.8
2022-11-14,False,det,tor,111,115,0.38848920863309355,2.5,0.6115107913669064,1.5882352941176472
2022-11-14,False,mia,phx,113,112,0.5620437956204379,1.7142857142857144,0.43795620437956206,2.2
2022-11-14,False,bos,okc,126,122,0.8328690807799444,1.1538461538461537,0.16713091922005563,5.75
2022-11-14,False,hou,lac,106,122,0.361145703611457,2.7,0.6388542963885431,1.526315789473684
2022-11-14,False,mil,atl,106,121,0.6115107913669063,1.5882352941176472,0.38848920863309366,2.5
2022-11-14,False,gs,sa,132,95,0.7687861271676301,1.263157894736842,0.23121387283236994,4.2
2022-11-15,False,no,mem,113,102,0.5217391304347826,1.8333333333333335,0.4782608695652174,2.0
2022-11-15,False,dal,lac,103,101,0.6979865771812079,1.3846153846153846,0.30201342281879207,3.2
2022-11-15,False,utah,ny,111,118,0.6187175043327556,1.5714285714285714,0.38128249566724437,2.55
2022-11-15,False,por,sa,117,110,0.7578947368421054,1.2777777777777777,0.2421052631578946,4.0
2022-11-15,False,sac,bkn,153,121,0.5324675324675325,1.8,0.46753246753246747,2.05
2022-11-16,False,cha,ind,113,125,0.5,1.9090909090909092,0.5,1.9090909090909092
2022-11-16,False,wsh,okc,120,121,0.638854296388543,1.526315789473684,0.36114570361145704,2.7
2022-11-16,False,orl,min,108,126,0.27586206896551724,3.5,0.7241379310344828,1.3333333333333333
2022-11-16,False,atl,bos,101,126,0.5,1.9090909090909092,0.5,1.9090909090909092
2022-11-16,False,tor,mia,112,104,0.5962732919254659,1.625,0.40372670807453415,2.4
