season,date,regular,playoffs,away,home,score_away,score_home,q1_away,q2_away,q3_away,q4_away,ot_away,q1_home,q2_home,q3_home,q4_home,ot_home,whos_favored,spread,total,moneyline_away,moneyline_home,h2_spread,h2_total,id_spread,id_total,game_date
2024,2023-11-08,True,False,sa,ny,105,126,16,35,21,33,0,33,32,34,27,0,home,9.5,223.5,,,,,1.0,1.0,2023-11-08
2024,2023-11-08,True,False,lac,bkn,93,100,21,28,22,22,0,13,33,27,27,0,away,5.5,231.5,,,,,0.0,0.0,2023-11-08
2024,2023-11-08,True,False,por,sac,118,121,29,31,24,27,7,34,22,29,26,10,home,8.5,221.5,,,,,0.0,1.0,2023-11-08
2024,2023-11-08,True,False,phx,chi,116,115,36,21,31,19,9,28,29,27,23,8,home,0.5,217.5,,,,,0.0,1.0,2023-11-08
2024,2023-11-08,True,False,lal,hou,94,128,19,26,26,23,0,32,34,33,29,0,away,1.5,223.5,,,,,0.0,0.0,2023-11-08
2024,2023-11-08,True,False,mia,mem,108,102,33,21,23,31,0,26,20,30,26,0,away,1.5,216.5,,,,,1.0,0.0,2023-11-08
2024,2023-11-08,True,False,cle,okc,120,128,29,28,30,33,0,36,34,29,29,0,away,2.5,227.5,,,,,0.0,1.0,2023-11-08
2024,2023-11-08,True,False,wsh,cha,132,116,24,41,38,29,0,29,17,38,32,0,home,2.5,239.5,,,,,0.0,1.0,2023-11-08
2024,2023-11-09,True,False,mil,ind,124,126,24,36,34,30,0,38,28,27,33,0,away,1.5,239.5,,,,,0.0,1.0,2023-11-09
2024,2023-11-09,True,False,atl,orl,120,119,34,39,20,27,0,34,35,29,21,0,away,3.5,232.5,,,,,0.0,1.0,2023-11-09
2024,2023-11-10,True,False,lal,phx,122,119,25,30,34,33,0,34,29,33,23,0,home,2.5,223.5,,,,,0.0,1.0,2023-11-10
2024,2023-11-10,True,False,lac,dal,126,144,33,18,38,37,0,30,47,38,29,0,home,1.5,235.5,,,,,1.0,1.0,2023-11-10
2024,2023-11-10,True,False,cha,wsh,124,117,22,35,31,36,0,27,36,34,20,0,home,3.5,240.5,,,,,0.0,1.0,2023-11-10
2024,2023-11-10,True,False,no,hou,101,104,31,17,31,22,0,26,28,16,34,0,home,3.5,220.5,,,,,0.0,0.0,2023-11-10
2024,2023-11-10,True,False,utah,mem,127,121,34,42,27,24,0,32,31,32,26,0,home,4.5,229.5,,,,,0.0,1.0,2023-11-10
2024,2023-11-10,True,False,min,sa,117,110,22,34,34,27,0,27,27,19,37,0,away,7.5,225.5,,,,,0.0,1.0,2023-11-10
2024,2023-11-10,True,False,phi,det,114,106,21,27,35,31,0,33,23,21,29,0,away,8.5,224.5,,,,,0.0,0.0,2023-11-10
2024,2023-11-10,True,False,bkn,bos,107,121,33,21,30,23,0,38,28,27,28,0,home,11.5,229.5,,,,,1.0,0.0,2023-11-10
2024,2023-11-10,True,False,okc,sac,98,105,20,22,28,28,0,34,19,22,30,0,away,1.5,232.5,,,,,0.0,0.0,2023-11-10
2024,2023-11-11,True,False,mia,atl,117,109,41,22,30,24,0,24,28,30,27,0,home,7.5,227.5,,,,,0.0,0.0,2023-11-11
2024,2023-11-11,True,False,cle,gs,118,110,30,38,16,34,0,31,21,31,27,0,home,4.5,224.5,,,,,0.0,1.0,2023-11-11
2024,2023-11-11,True,False,mil,orl,97,112,25,24,23,25,0,29,36,23,24,0,away,2.5,227.5,,,,,0.0,0.0,2023-11-11
2024,2023-11-11,True,False,tor,bos,94,117,26,20,25,23,0,30,25,33,29,0,home,9.5,222.5,,,,,1.0,0.0,2023-11-11
2024,2023-11-12,True,False,det,chi,108,119,31,19,31,27,0,22,33,29,35,0,home,6.5,221.5,,,,,1.0,1.0,2023-11-12
2024,2023-11-12,True,False,ind,phi,126,137,27,33,39,27,0,38,31,31,37,0,home,7.5,237.5,,,,,1.0,1.0,2023-11-12
2024,2023-11-12,True,False,okc,phx,111,99,29,25,26,31,0,29,30,27,13,0,home,4.5,231.5,,,,,0.0,0.0,2023-11-12
2024,2023-11-12,True,False,por,lal,110,116,28,29,23,30,0,31,25,35,25,0,home,8.5,220.5,,,,,0.0,1.0,2023-11-12
2024,2023-11-12,True,False,mia,sa,118,113,15,35,32,36,0,29,24,31,29,0,away,1.5,222.5,,,,,1.0,1.0,2023-11-12
2024,2023-11-12,True,False,mem,lac,105,101,33,19,27,26,0,20,25,23,33,0,home,8.5,224.5,,,,,0.0,0.0,2023-11-12
2024,2023-11-12,True,False,wsh,bkn,94,102,15,26,31,22,0,30,19,29,24,0,home,6.5,234.5,,,,,1.0,0.0,2023-11-12
2024,2023-11-12,True,False,cha,ny,107,129,25,29,25,28,0,32,32,35,30,0,home,11.5,224.5,,,,,1.0,1.0,2023-11-12
2024,2023-11-12,True,False,den,hou,104,107,30,20,26,28,0,23,23,28,33,0,away,4.5,215.5,,,,,0.0,0.0,2023-11-12
2024,2023-11-12,True,False,dal,no,136,124,34,33,42,27,0,27,27,31,39,0,away,3.5,237.5,,,,,1.0,1.0,2023-11-12
2024,2023-11-12,True,False,min,gs,116,110,29,25,35,27,0,31,20,22,37,0,home,3.5,222.5,,,,,0.0,1.0,2023-11-12
2024,2023-11-13,True,False,ny,bos,98,114,24,29,23,22,0,25,27,32,30,0,home,9.5,220.5,,,,,1.0,0.0,2023-11-13
2024,2023-11-13,True,False,chi,mil,109,118,18,31,25,35,0,35,24,24,35,0,home,9.5,230.5,,,,,0.0,0.0,2023-11-13
2024,2023-11-13,True,False,cle,sac,120,132,25,35,29,31,0,33,35,42,22,0,home,3.5,228.5,,,,,1.0,1.0,2023-11-13
2024,2023-11-13,True,False,wsh,tor,107,111,32,32,27,16,0,25,20,36,30,0,home,8.5,230.5,,,,,0.0,0.0,2023-11-13
2024,2023-11-14,True,False,ind,phi,132,126,36,27,32,37,0,30,24,40,32,0,home,5.5,240.5,,,,,0.0,1.0,2023-11-14
2024,2023-11-14,True,False,atl,det,126,120,38,26,33,29,0,29,31,31,29,0,away,4.5,224.5,,,,,1.0,1.0,2023-11-14
2024,2023-11-14,True,False,sa,okc,87,123,25,23,18,21,0,28,30,33,32,0,home,10.5,237.5,,,,,1.0,0.0,2023-11-14
2024,2023-11-14,True,False,mia,cha,111,105,24,33,30,24,0,32,16,32,25,0,away,6.5,221.5,,,,,0.0,0.0,2023-11-14
2024,2023-11-14,True,False,lac,den,108,111,26,26,32,24,0,28,32,24,27,0,home,4.5,226.5,,,,,0.0,0.0,2023-11-14
2024,2023-11-14,True,False,mem,lal,107,134,26,25,35,21,0,37,37,33,27,0,home,6.5,225.5,,,,,1.0,1.0,2023-11-14
2024,2023-11-14,True,False,por,utah,99,115,28,30,28,13,0,36,31,28,20,0,home,7.5,230.5,,,,,1.0,0.0,2023-11-14
2024,2023-11-14,True,False,orl,bkn,104,124,24,36,26,18,0,33,24,31,36,0,home,2.5,218.5,,,,,1.0,1.0,2023-11-14
2024,2023-11-14,True,False,min,gs,104,101,22,32,22,28,0,30,29,24,18,0,away,3.5,216.5,,,,,0.0,0.0,2023-11-14
2024,2023-11-14,True,False,dal,no,110,131,26,28,31,25,0,33,37,44,17,0,away,3.5,239.5,,,,,0.0,1.0,2023-11-14
2024,2023-11-15,True,False,orl,chi,96,94,21,29,23,23,0,21,12,31,30,0,home,2.5,215.5,,,,,0.0,0.0,2023-11-15
2024,2023-11-15,True,False,sac,lal,125,110,38,34,32,21,0,25,34,21,30,0,home,0.5,237.5,,,,,0.0,0.0,2023-11-15
2024,2023-11-15,True,False,cle,por,109,95,30,25,28,26,0,25,22,28,20,0,away,10.5,217.5,,,,,1.0,0.0,2023-11-15
2024,2023-11-15,True,False,ny,atl,116,114,33,24,30,29,0,22,34,25,33,0,home,1.5,229.5,,,,,0.0,1.0,2023-11-15
